overall,vote,verified,reviewTime,reviewerID,asin,style,reviewerName,reviewText,summary,unixReviewTime,image
1,,True,"11 22, 2015",A37TWNNTNCY8JV,B0083EYC4A,{'Format:': ' MP3 Music'},rose sisters,ok,One Star,1448150400,
1,,True,"01 9, 2015",AZAW12EWF3O6G,B001E9ULJ6,{'Format:': ' MP3 Music'},RVMY,Not worth the price: this digital download was free!,One Star,1420761600,
1,,True,"12 14, 2014",A23GI9VA8A2KEK,B004NYNGW8,{'Format:': ' MP3 Music'},teresa,i didn't purchase this,One Star,1418515200,
1,,True,"04 1, 2015",A2SC8X1S8P8CFS,B001O03NRM,{'Format:': ' MP3 Music'},VERY BLESSED,Not good,One Star,1427846400,
1,,True,"03 28, 2017",AUH0BZW12JM7W,B00SYTMDS6,{'Format:': ' MP3 Music'},A. Goebel,It old and got sick of it fast,Got old,1490659200,
1,,True,"09 17, 2014",A15Y6AZZ092FNO,B000S3W3Z4,{'Format:': ' MP3 Music'},D. Roy,family member downloaded for their mp3,One Star,1410912000,
1,,True,"01 10, 2015",AZAW12EWF3O6G,B007Y1AM74,,RVMY,I didn't like a single track from the album.,Not Good,1420848000,
1,,False,"09 6, 2014",AXHSMI8VFE39H,B001B65PAC,{'Format:': ' MP3 Music'},Sparklemonkey,Unfortunately vice has crept into music although its a real toe tapper we have had to forbid the children from rhiana due to her immoral lifestyle.,Unfortunately vice has crept into music although its a real ...,1409961600,
1,,True,"12 20, 2014",ADRHDDMUP268W,B00GLP4DMO,{'Format:': ' MP3 Music'},Terri Anderson,Hate!,Hate,1419033600,
1,,True,"06 9, 2016",A1YBZB3ALCIKIX,B002NXTHWE,{'Format:': ' Audio CD'},darrell m hill,Just ok,One Star,1465430400,
1,,True,"10 23, 2015",A363MZQVXDO0G0,B00CZF8B68,{'Format:': ' MP3 Music'},Kimmypoo,After loving this song at first it has now become the most annoying song ever.,... song at first it has now become the most annoying song ever,1445558400,
1,,False,"03 4, 2014",A36EDWL4F3AASU,B0011Z72TK,{'Format:': ' MP3 Music'},&amp;quot;Sonny&amp;quot; Di Degrassi,This crappy song isn't even worthy of getting played in those dumb a$$ Target commercial that try to be hip by playing some mainstream hipster tunes,This song is the aural equivalent of sticking your head in your cat's dookie-a$$ litter box and taking a big whiff,1393891200,
1,,True,"03 12, 2017",A2VWFGV2IO3VVD,B0018Q12BG,{'Format:': ' MP3 Music'},David L. Lee,"1 is not for song itself but for the clean version which still contains the ""B"" word defeating my whole purpose for buying this version.",Not Clean,1489276800,
1,2.0,True,"12 1, 2013",AH32BK6OVLY93,B00BLICN3W,,Superwoman AJ,"I don't know what it was about this song - maybe too much ""theatrics"", but I did not like this version of The Anthem. I love Planetshakers' version much better.",Not my favorite version of this song.,1385856000,
1,8.0,False,"01 27, 2015",A3D2DJEHR4U7HC,B00SPF2KT6,,Wouldashouldacoulda,"I'm not sure what I expected, but the combination of these three sounded like it could make for an interesting track.  It's just WEIRD imho.","Why, oh why???!!",1422316800,
1,,False,"10 18, 2015",A1CG7U3K28EJMM,B015L1ZBY2,{'Format:': ' MP3 Music'},Kennedy James,I thought it didnt't sound as good without Zayne. It would be way better with Zayne in it.,One Star,1445126400,
